ppm,x=0.3 xPbO.(1-x)B2O3
2985.9275, 358376.125000
2985.1984, 360174.625000
2984.4693, 933126.625000
2983.7402, 1951564.125000
2983.0112, 1726234.625000
2982.2821, 551898.875000
2981.5530, 845214.000000
2980.8239, 1092362.000000
2980.0949, 860490.750000
2979.3658, 1357692.250000
2978.6367, 2039767.500000
2977.9076, 2011681.375000
2977.1786, 7613396.875000
2976.4495, 12031417.000000
2975.7204, 10532163.750000
2974.9913, 4346524.250000
2974.2623, 2360662.250000
2973.5332, 2518805.375000
2972.8041, 799028.625000
2972.0750, 2785057.000000
2971.3460, 1733871.125000
2970.6169, 1048401.750000
2969.8878, 1836206.125000
2969.1587, 829531.125000
2968.4297, 1135373.750000
2967.7006, 2152073.125000
2966.9715, 1998130.875000
2966.2424, 1094999.125000
2965.5134, 1326670.750000
2964.7843, 1897184.125000
2964.0552, 1516148.500000
2963.3261, 376465.375000
2962.5971, 704536.750000
2961.8680, 1686830.625000
2961.1389, 2266963.500000
2960.4098, 902495.000000
2959.6808, 1523576.875000
2958.9517, 1097837.875000
2958.2226, 3774908.625000
2957.4935, 9105802.500000
2956.7645, 9755321.750000
2956.0354, 4995356.500000
2955.3063, 1763262.125000
2954.5772, 2577200.375000
2953.8481, 1294311.500000
2953.1191, 2986655.125000
2952.3900, 2298792.250000
2951.6609, 732632.125000
2950.9318, 1873293.750000
2950.2028, 1505996.875000
2949.4737, 468192.000000
2948.7446, 2129263.875000
2948.0155, 2566026.750000
2947.2865, 1419731.875000
2946.5574, 35024.500000
2945.8283, 778255.875000
2945.0992, 702947.125000
2944.3702, 308082.750000
2943.6411, 540352.125000
2942.9120, 1522973.125000
2942.1829, 2666863.375000
2941.4539, 1557521.750000
2940.7248, 1449898.625000
2939.9957, 2066673.250000
2939.2666, 1940898.750000
2938.5376, 7676094.000000
2937.8085, 9656309.125000
2937.0794, 6161638.000000
2936.3503, 2557923.625000
2935.6213, 3317193.375000
2934.8922, 2552731.750000
2934.1631, 2208415.250000
2933.4340, 1433247.875000
2932.7050, 290408.125000
2931.9759, 1389312.750000
2931.2468, 2247896.750000
2930.5177, 1649641.000000
2929.7887, 449806.875000
2929.0596, 1165608.875000
2928.3305, 1210504.125000
2927.6014, 1538797.250000
2926.8724, 1017984.250000
2926.1433, 237859.875000
2925.4142, 44137.750000
2924.6851, 648059.375000
2923.9561, 1028150.125000
2923.2270, 1500678.000000
2922.4979, 831430.750000
2921.7688, 1455104.750000
2921.0398, 2494273.000000
2920.3107, 433487.625000
2919.5816, 5864810.875000
2918.8525, 9117465.125000
2918.1235, 7476217.875000
2917.3944, 3888023.500000
2916.6653, 3619041.375000
2915.9362, 3282210.500000
2915.2072, 1841949.500000
2914.4781, 535242.875000
2913.7490, 535458.375000
2913.0199, 462571.125000
2912.2909, 1753031.875000
2911.5618, 2182973.875000
2910.8327, 1242839.875000
2910.1036, 401348.375000
2909.3746, 672770.500000
2908.6455, 1523783.875000
2907.9164, 1547366.625000
2907.1873, 696286.375000
2906.4583, 457153.750000
2905.7292, 1022391.125000
2905.0001, 1322918.000000
2904.2710, 597756.250000
2903.5420, 644758.000000
2902.8129, 1481907.250000
2902.0838, 1664748.500000
2901.3547, 713925.750000
2900.6257, 3626392.875000
2899.8966, 6895420.125000
2899.1675, 7071660.750000
2898.4384, 4310598.875000
2897.7094, 3016589.875000
2896.9803, 3154254.875000
2896.2512, 1579732.625000
2895.5221, 301928.250000
2894.7931, 932877.625000
2894.0640, 749554.875000
2893.3349, 265022.875000
2892.6058, 875617.125000
2891.8768, 1555507.000000
2891.1477, 1483403.750000
2890.4186, 680170.250000
2889.6895, 605269.250000
2888.9605, 996832.125000
2888.2314, 1098079.500000
2887.5023, 882236.500000
2886.7732, 1400673.375000
2886.0442, 2025832.500000
2885.3151, 953583.750000
2884.5860, 992134.500000
2883.8569, 1675373.500000
2883.1279, 839523.375000
2882.3988, 1303822.625000
2881.6697, 2678497.875000
2880.9406, 5079969.125000
2880.2116, 5830522.875000
2879.4825, 3800105.500000
2878.7534, 1952250.375000
2878.0243, 2377785.875000
2877.2953, 1528589.375000
2876.5662, 298214.875000
2875.8371, 1044223.750000
2875.1080, 993646.625000
2874.3790, 1088179.250000
2873.6499, 1046898.250000
2872.9208, 164886.750000
2872.1917, 1117569.375000
2871.4627, 1097352.125000
2870.7336, 602359.125000
2870.0045, 426587.375000
2869.2754, 767866.875000
2868.5464, 1183719.750000
2867.8173, 1407894.250000
2867.0882, 1992276.375000
2866.3591, 1255438.500000
2865.6301, 677828.250000
2864.9010, 1428411.375000
2864.1719, 1167289.125000
2863.4428, 1564480.375000
2862.7138, 2154454.875000
2861.9847, 4157268.875000
2861.2556, 5115542.000000
2860.5265, 3667446.000000
2859.7975, 1614347.750000
2859.0684, 1234389.500000
2858.3393, 885353.375000
2857.6102, 524468.875000
2856.8812, 251977.875000
2856.1521, 394505.375000
2855.4230, 696041.125000
2854.6939, 1289864.250000
2853.9649, 1601470.375000
2853.2358, 1368328.625000
2852.5067, 707347.000000
2851.7776, 846941.125000
2851.0486, 1860276.375000
2850.3195, 1774660.000000
2849.5904, 442397.625000
2848.8613, 1416767.500000
2848.1323, 1563164.625000
2847.4032, 573310.125000
2846.6741, 1351409.625000
2845.9450, 1230898.750000
2845.2160, 1366587.250000
2844.4869, 1663578.000000
2843.7578, 1018698.750000
2843.0287, 2718030.500000
2842.2997, 4225709.250000
2841.5706, 3998958.625000
2840.8415, 2265633.625000
