ppm,x=0.65 xPbO.(1-x)B2O3
2985.9275, 615653.000000
2985.1984, 371352.000000
2984.4693, 800146.000000
2983.7402, 832138.000000
2983.0112, 178390.000000
2982.2821, 530265.500000
2981.5530, 533215.000000
2980.8239, 707837.500000
2980.0949, 1098647.500000
2979.3658, 1549962.500000
2978.6367, 1508432.000000
2977.9076, 1170572.000000
2977.1786, 1474566.000000
2976.4495, 1414477.500000
2975.7204, 905877.500000
2974.9913, 584344.500000
2974.2623, 976261.500000
2973.5332, 961849.000000
2972.8041, 447361.500000
2972.0750, 1202111.000000
2971.3460, 1040418.500000
2970.6169, 80786.500000
2969.8878, 638434.500000
2969.1587, 549403.000000
2968.4297, 1795894.000000
2967.7006, 2141948.500000
2966.9715, 937499.500000
2966.2424, 1070820.000000
2965.5134, 1824048.500000
2964.7843, 1148168.500000
2964.0552, 207786.000000
2963.3261, 907997.500000
2962.5971, 621241.500000
2961.8680, 452689.500000
2961.1389, 1039346.500000
2960.4098, 1474128.000000
2959.6808, 1827003.000000
2958.9517, 1510136.500000
2958.2226, 1193400.500000
2957.4935, 1861510.500000
2956.7645, 1939932.000000
2956.0354, 1359602.500000
2955.3063, 992997.000000
2954.5772, 954756.000000
2953.8481, 685879.000000
2953.1191, 857053.000000
2952.3900, 1055945.500000
2951.6609, 567722.000000
2950.9318, 1038732.000000
2950.2028, 947018.500000
2949.4737, 850245.500000
2948.7446, 1913321.000000
2948.0155, 1461585.500000
2947.2865, 565848.500000
2946.5574, 1638851.500000
2945.8283, 1273546.000000
2945.0992, 223481.500000
2944.3702, 1112005.500000
2943.6411, 1238865.000000
2942.9120, 513206.000000
2942.1829, 456799.000000
2941.4539, 664647.000000
2940.7248, 801412.500000
2939.9957, 1239441.500000
2939.2666, 548813.000000
2938.5376, 2545282.000000
2937.8085, 3704332.000000
2937.0794, 2525381.000000
2936.3503, 433457.000000
2935.6213, 745102.500000
2934.8922, 824932.000000
2934.1631, 1245383.500000
2933.4340, 914570.500000
2932.7050, 812539.500000
2931.9759, 1341283.500000
2931.2468, 1584641.000000
2930.5177, 1075277.500000
2929.7887, 187867.500000
2929.0596, 832469.000000
2928.3305, 981519.000000
2927.6014, 1103999.000000
2926.8724, 352842.000000
2926.1433, 912153.000000
2925.4142, 1086105.000000
2924.6851, 780601.500000
2923.9561, 1291110.500000
2923.2270, 717230.500000
2922.4979, 649200.000000
2921.7688, 570766.000000
2921.0398, 1072643.000000
2920.3107, 682100.500000
2919.5816, 1984514.500000
2918.8525, 4201837.500000
