ppm,x=0.3 xPbO.(1-x)B2O3
1987.8008, 355297.437500
1987.6186, 354768.250000
1987.4363, 354239.062500
1987.2540, 353709.875000
1987.0718, 353180.687500
1986.8895, 340641.437500
1986.7072, 328102.187500
1986.5250, 315562.937500
1986.3427, 303023.687500
1986.1604, 303268.625000
1985.9781, 303513.562500
1985.7959, 303758.500000
1985.6136, 304003.500000
1985.4313, 274730.812500
1985.2491, 245458.187500
1985.0668, 216185.500000
1984.8845, 186912.812500
1984.7023, 152707.375000
1984.5200, 118501.937500
1984.3377, 84296.500000
1984.1555, 50091.062500
1983.9732, 58697.125000
1983.7909, 67303.125000
1983.6087, 75909.125000
1983.4264, 84515.125000
1983.2441, 98881.000000
1983.0618, 113246.937500
1982.8796, 127612.812500
1982.6973, 141978.687500
1982.5150, 148184.187500
1982.3328, 154389.687500
1982.1505, 160595.187500
1981.9682, 166800.687500
1981.7860, 171788.812500
1981.6037, 176777.000000
1981.4214, 181765.125000
1981.2392, 186753.312500
1981.0569, 208874.812500
1980.8746, 230996.312500
1980.6924, 253117.812500
1980.5101, 275239.312500
1980.3278, 300370.750000
1980.1455, 325502.250000
1979.9633, 350633.687500
1979.7810, 375765.187500
1979.5987, 369010.625000
1979.4165, 362256.000000
1979.2342, 355501.437500
1979.0519, 348746.875000
1978.8697, 326805.375000
1978.6874, 304863.812500
1978.5051, 282922.312500
1978.3229, 260980.750000
1978.1406, 259338.812500
1977.9583, 257696.937500
1977.7761, 256055.000000
1977.5938, 254413.062500
1977.4115, 224222.187500
1977.2292, 194031.312500
1977.0470, 163840.437500
1976.8647, 133649.562500
1976.6824, 131400.812500
1976.5002, 129152.062500
1976.3179, 126903.312500
1976.1356, 124654.500000
1975.9534, 157273.562500
1975.7711, 189892.687500
1975.5888, 222511.750000
1975.4066, 255130.812500
1975.2243, 271966.687500
1975.0420, 288802.562500
1974.8598, 305638.437500
1974.6775, 322474.312500
1974.4952, 313145.875000
1974.3129, 303817.375000
1974.1307, 294488.937500
1973.9484, 285160.500000
1973.7661, 228083.687500
1973.5839, 171006.937500
1973.4016, 113930.125000
1973.2193, 56853.375000
1973.0371, 98459.437500
1972.8548, 140065.500000
1972.6725, 181671.562500
1972.4903, 223277.562500
1972.3080, 246820.687500
1972.1257, 270363.750000
1971.9434, 293906.812500
1971.7612, 317449.875000
1971.5789, 310231.687500
1971.3966, 303013.500000
1971.2144, 295795.312500
1971.0321, 288577.187500
1970.8498, 274053.625000
1970.6676, 259530.125000
1970.4853, 245006.625000
1970.3030, 230483.062500
1970.1208, 182424.625000
1969.9385, 134366.187500
1969.7562, 86307.687500
1969.5740, 38249.250000
1969.3917, 108528.125000
1969.2094, 178807.062500
1969.0271, 249086.000000
