ppm,x=0.8 xPbO.(1-x)B2O3
2985.9275, 380067.750000
2985.1984, 564755.000000
2984.4693, 1431836.500000
2983.7402, 1711731.000000
2983.0112, 1232666.500000
2982.2821, 515144.250000
2981.5530, 221925.000000
2980.8239, 104807.250000
2980.0949, 735734.750000
2979.3658, 1413969.000000
2978.6367, 1508591.750000
2977.9076, 1026079.750000
2977.1786, 1997951.500000
2976.4495, 2532831.000000
2975.7204, 1702506.750000
2974.9913, 985724.250000
2974.2623, 676515.750000
2973.5332, 600368.000000
2972.8041, 617949.750000
2972.0750, 425458.000000
2971.3460, 1122791.000000
2970.6169, 489073.250000
2969.8878, 674348.000000
2969.1587, 644995.500000
2968.4297, 852201.500000
2967.7006, 1499639.000000
2966.9715, 821007.250000
2966.2424, 1058690.000000
2965.5134, 565847.000000
2964.7843, 1090626.250000
2964.0552, 1773749.000000
2963.3261, 641139.000000
2962.5971, 830414.000000
2961.8680, 782302.250000
2961.1389, 433652.500000
2960.4098, 700502.500000
2959.6808, 1042431.750000
2958.9517, 1375723.750000
2958.2226, 2851874.250000
2957.4935, 4743759.250000
2956.7645, 4054052.750000
2956.0354, 1302081.500000
2955.3063, 1278301.750000
2954.5772, 849883.750000
2953.8481, 1052544.750000
2953.1191, 910520.500000
2952.3900, 988096.500000
2951.6609, 1666027.250000
2950.9318, 857304.250000
2950.2028, 912689.250000
2949.4737, 639659.250000
2948.7446, 1552966.250000
2948.0155, 1455752.750000
2947.2865, 923539.250000
2946.5574, 1980128.000000
2945.8283, 1089564.750000
2945.0992, 693893.750000
2944.3702, 995735.750000
2943.6411, 533862.500000
2942.9120, 1225685.500000
2942.1829, 597853.250000
2941.4539, 1005961.750000
2940.7248, 1142485.000000
2939.9957, 749280.250000
2939.2666, 2105261.250000
2938.5376, 4738173.000000
2937.8085, 5765459.500000
2937.0794, 3803864.000000
2936.3503, 1241542.750000
2935.6213, 1015565.000000
2934.8922, 687464.250000
2934.1631, 1790976.000000
2933.4340, 843891.250000
2932.7050, 1033423.750000
2931.9759, 1448619.500000
2931.2468, 200896.500000
2930.5177, 704667.500000
2929.7887, 285390.250000
2929.0596, 990078.250000
2928.3305, 570127.000000
2927.6014, 1221919.750000
2926.8724, 1815194.500000
2926.1433, 757347.000000
2925.4142, 500052.000000
2924.6851, 364269.000000
2923.9561, 1072437.250000
2923.2270, 1609555.250000
2922.4979, 678022.500000
2921.7688, 1590166.000000
2921.0398, 2101341.250000
2920.3107, 1336657.500000
2919.5816, 3753251.500000
2918.8525, 5704378.250000
2918.1235, 4979228.000000
2917.3944, 2674104.500000
2916.6653, 1135273.250000
2915.9362, 259568.000000
2915.2072, 1666186.750000
2914.4781, 1901820.000000
2913.7490, 645070.750000
2913.0199, 1047359.750000
2912.2909, 1745150.750000
2911.5618, 1439204.250000
2910.8327, 842454.250000
2910.1036, 747455.750000
2909.3746, 440649.250000
2908.6455, 419263.250000
2907.9164, 1145321.750000
2907.1873, 988145.000000
2906.4583, 72802.750000
2905.7292, 849343.250000
