ppm,x=0.6 xPbO.(1-x)B2O3
2985.9275, 587612.500000
2985.1984, 440120.250000
2984.4693, 316864.500000
2983.7402, 1215574.250000
2983.0112, 2204278.000000
2982.2821, 1547118.750000
2981.5530, 368042.250000
2980.8239, 1122991.750000
2980.0949, 1896834.750000
2979.3658, 1590471.000000
2978.6367, 1158105.750000
2977.9076, 1868865.750000
2977.1786, 836759.000000
2976.4495, 1083695.750000
2975.7204, 1579316.750000
2974.9913, 621722.000000
2974.2623, 724240.500000
2973.5332, 329296.000000
2972.8041, 1015525.000000
2972.0750, 761357.500000
2971.3460, 965797.750000
2970.6169, 1328820.750000
2969.8878, 383148.750000
2969.1587, 569340.000000
2968.4297, 290963.750000
2967.7006, 811419.750000
2966.9715, 1046906.000000
2966.2424, 919813.500000
2965.5134, 572528.750000
2964.7843, 898004.000000
2964.0552, 2097229.500000
2963.3261, 1974970.750000
2962.5971, 1020672.500000
2961.8680, 210715.250000
2961.1389, 807646.750000
2960.4098, 1332623.750000
2959.6808, 924392.000000
2958.9517, 1180270.750000
2958.2226, 1374937.500000
2957.4935, 974011.250000
2956.7645, 1235541.250000
2956.0354, 1305170.000000
2955.3063, 880771.750000
2954.5772, 518796.750000
2953.8481, 294114.000000
2953.1191, 690474.250000
2952.3900, 1003369.750000
2951.6609, 616476.000000
2950.9318, 789922.000000
2950.2028, 933252.500000
2949.4737, 223507.250000
2948.7446, 401393.750000
2948.0155, 164294.250000
2947.2865, 1114228.500000
2946.5574, 1466911.000000
2945.8283, 558750.000000
2945.0992, 1036596.500000
2944.3702, 1648281.250000
2943.6411, 1170522.500000
2942.9120, 566928.750000
2942.1829, 348075.250000
2941.4539, 284757.500000
2940.7248, 512824.000000
2939.9957, 86543.250000
2939.2666, 1058214.500000
2938.5376, 1321666.000000
2937.8085, 680585.750000
2937.0794, 1447646.500000
2936.3503, 1884496.250000
2935.6213, 1070831.250000
2934.8922, 225706.000000
2934.1631, 695268.750000
2933.4340, 843076.000000
2932.7050, 906833.500000
2931.9759, 823025.000000
2931.2468, 1408338.750000
2930.5177, 1426562.500000
2929.7887, 535990.750000
2929.0596, 706891.000000
2928.3305, 859084.000000
2927.6014, 863242.000000
2926.8724, 1198116.500000
2926.1433, 1219258.500000
2925.4142, 1383430.500000
2924.6851, 1132394.750000
2923.9561, 285836.750000
2923.2270, 475920.000000
2922.4979, 256666.250000
2921.7688, 426689.750000
2921.0398, 423000.750000
2920.3107, 515042.250000
2919.5816, 1118135.250000
2918.8525, 728517.750000
2918.1235, 478711.750000
2917.3944, 1387611.000000
2916.6653, 1108701.000000
2915.9362, 451200.250000
2915.2072, 1018617.500000
