ppm,x=0.75 xPbO.(1-x)B2O3
2985.9275, 1110472.000000
2985.1984, 914333.000000
2984.4693, 669893.500000
2983.7402, 273249.500000
2983.0112, 822033.000000
2982.2821, 1115550.500000
2981.5530, 921209.500000
2980.8239, 329528.000000
2980.0949, 1486588.500000
2979.3658, 3053757.000000
2978.6367, 2764130.000000
2977.9076, 1188071.500000
2977.1786, 3561360.500000
2976.4495, 5034439.500000
2975.7204, 4396451.500000
2974.9913, 2622173.000000
2974.2623, 644683.000000
2973.5332, 1013351.000000
2972.8041, 1521415.500000
2972.0750, 850258.500000
2971.3460, 233820.000000
2970.6169, 560900.500000
2969.8878, 419494.000000
2969.1587, 820875.500000
2968.4297, 1125474.500000
2967.7006, 887593.000000
2966.9715, 767276.000000
2966.2424, 1179299.500000
2965.5134, 1090144.000000
2964.7843, 300329.500000
2964.0552, 890182.000000
2963.3261, 1750424.000000
2962.5971, 1626559.500000
2961.8680, 504613.500000
2961.1389, 1002053.000000
2960.4098, 2345476.500000
2959.6808, 2980051.500000
2958.9517, 2427444.000000
2958.2226, 2971051.500000
2957.4935, 5208354.000000
2956.7645, 5812603.500000
2956.0354, 4094368.500000
2955.3063, 1645018.500000
2954.5772, 911799.000000
2953.8481, 1281296.500000
2953.1191, 1407364.500000
2952.3900, 988510.000000
2951.6609, 1068658.500000
2950.9318, 1286339.000000
2950.2028, 736519.000000
2949.4737, 976211.000000
2948.7446, 1016084.500000
2948.0155, 1002517.500000
2947.2865, 1512505.500000
2946.5574, 1167573.000000
2945.8283, 211417.000000
2945.0992, 454837.500000
2944.3702, 652609.000000
2943.6411, 873184.000000
2942.9120, 916234.500000
2942.1829, 361654.500000
2941.4539, 823240.000000
2940.7248, 1326986.500000
2939.9957, 1641810.000000
2939.2666, 3352953.000000
2938.5376, 5191889.000000
2937.8085, 6023603.000000
2937.0794, 4991559.500000
2936.3503, 2240058.500000
2935.6213, 1654366.500000
2934.8922, 2051808.000000
2934.1631, 485455.500000
2933.4340, 1205772.000000
2932.7050, 1424752.000000
2931.9759, 1517067.000000
2931.2468, 1078149.500000
2930.5177, 505806.000000
2929.7887, 978078.000000
2929.0596, 112435.000000
2928.3305, 1343050.500000
2927.6014, 1092150.500000
2926.8724, 94129.000000
2926.1433, 306327.500000
2925.4142, 768911.000000
2924.6851, 1275788.500000
2923.9561, 87948.500000
2923.2270, 1882835.000000
2922.4979, 2164205.500000
2921.7688, 1757399.000000
2921.0398, 1319360.000000
2920.3107, 2219666.000000
2919.5816, 6098493.500000
2918.8525, 7741854.000000
2918.1235, 5972763.500000
2917.3944, 2659968.000000
2916.6653, 1696894.000000
2915.9362, 2747242.500000
2915.2072, 2034061.500000
2914.4781, 449445.500000
2913.7490, 847443.000000
2913.0199, 979653.000000
2912.2909, 1101284.500000
2911.5618, 245903.000000
2910.8327, 922556.500000
2910.1036, 1076527.000000
2909.3746, 1076884.500000
2908.6455, 1074051.000000
2907.9164, 283688.000000
2907.1873, 694798.500000
2906.4583, 378125.500000
2905.7292, 1672712.500000
2905.0001, 963318.500000
2904.2710, 2195943.500000
2903.5420, 3666785.500000
2902.8129, 2441647.000000
2902.0838, 2407915.500000
2901.3547, 1863266.500000
2900.6257, 4868464.000000
2899.8966, 8915612.500000
2899.1675, 8056944.000000
2898.4384, 3391715.500000
2897.7094, 1891930.500000
2896.9803, 2046369.000000
2896.2512, 2184953.500000
2895.5221, 2422696.000000
2894.7931, 1270482.000000
2894.0640, 698799.500000
2893.3349, 499935.000000
2892.6058, 946885.000000
2891.8768, 386194.500000
2891.1477, 974157.500000
2890.4186, 1341222.000000
2889.6895, 1173805.000000
2888.9605, 598153.000000
2888.2314, 675968.000000
2887.5023, 1228438.500000
2886.7732, 375803.500000
2886.0442, 274535.000000
2885.3151, 930977.000000
2884.5860, 2721631.000000
2883.8569, 2584657.500000
2883.1279, 2431265.500000
2882.3988, 3312512.000000
2881.6697, 3791986.000000
2880.9406, 8009314.500000
2880.2116, 9151346.000000
2879.4825, 4867509.500000
2878.7534, 1875860.000000
2878.0243, 2535658.000000
2877.2953, 551591.500000
2876.5662, 2941472.500000
2875.8371, 2148689.500000
2875.1080, 1139924.500000
2874.3790, 827304.500000
2873.6499, 1022913.500000
2872.9208, 1772908.500000
2872.1917, 359584.000000
2871.4627, 1339379.000000
2870.7336, 1292886.500000
2870.0045, 1165759.500000
2869.2754, 1136458.500000
2868.5464, 1791992.500000
2867.8173, 2131396.500000
2867.0882, 1217202.000000
2866.3591, 1353247.000000
2865.6301, 957137.500000
2864.9010, 1027210.500000
2864.1719, 2352977.500000
2863.4428, 3374701.000000
2862.7138, 3600642.500000
2861.9847, 7850054.000000
2861.2556, 11065547.500000
2860.5265, 8099435.000000
2859.7975, 2288166.500000
2859.0684, 3878611.500000
2858.3393, 1912924.500000
2857.6102, 2061111.000000
2856.8812, 2773031.500000
2856.1521, 708770.000000
2855.4230, 1614639.500000
2854.6939, 388386.500000
2853.9649, 2425383.500000
2853.2358, 1885727.000000
2852.5067, 540369.500000
2851.7776, 1559926.500000
2851.0486, 1543447.000000
2850.3195, 1998352.500000
2849.5904, 1001601.000000
2848.8613, 1802916.000000
2848.1323, 1341406.000000
2847.4032, 1314884.000000
2846.6741, 2688552.000000
2845.9450, 1914942.000000
2845.2160, 1301230.000000
2844.4869, 4041884.500000
2843.7578, 3677120.500000
2843.0287, 6312852.000000
2842.2997, 12647768.500000
2841.5706, 12541114.000000
2840.8415, 5856219.500000
2840.1124, 4128187.000000
