ppm,x=0.7 xPbO.(1-x)B2O3
2985.9275, 726949.000000
2985.1984, 744602.000000
2984.4693, 464549.000000
2983.7402, 954736.500000
2983.0112, 866855.500000
2982.2821, 703524.500000
2981.5530, 1125712.500000
2980.8239, 1510069.000000
2980.0949, 1770319.000000
2979.3658, 1408656.000000
2978.6367, 954971.000000
2977.9076, 1267708.500000
2977.1786, 2462066.500000
2976.4495, 3146587.000000
2975.7204, 2571611.500000
2974.9913, 2126902.000000
2974.2623, 2045264.500000
2973.5332, 998251.000000
2972.8041, 469411.000000
2972.0750, 1030934.000000
2971.3460, 850243.500000
2970.6169, 556560.000000
2969.8878, 873220.000000
2969.1587, 1456017.500000
2968.4297, 1348431.000000
2967.7006, 533322.500000
2966.9715, 402875.000000
2966.2424, 511078.000000
2965.5134, 552529.500000
2964.7843, 731167.000000
2964.0552, 730507.000000
2963.3261, 517754.000000
2962.5971, 422617.000000
2961.8680, 1248182.500000
2961.1389, 1205221.000000
2960.4098, 1133129.500000
2959.6808, 1414139.000000
2958.9517, 805903.000000
2958.2226, 2011965.000000
2957.4935, 3073035.000000
2956.7645, 2750300.500000
2956.0354, 1646005.500000
2955.3063, 933318.500000
2954.5772, 1322755.500000
2953.8481, 1229408.000000
2953.1191, 571110.500000
2952.3900, 86741.000000
2951.6609, 210435.000000
2950.9318, 136151.000000
2950.2028, 525580.000000
2949.4737, 1156826.000000
2948.7446, 1013995.500000
2948.0155, 347547.000000
2947.2865, 491132.000000
2946.5574, 632517.500000
2945.8283, 486262.500000
2945.0992, 232672.500000
2944.3702, 482259.500000
2943.6411, 649690.500000
2942.9120, 1476134.000000
2942.1829, 1362820.500000
2941.4539, 456797.000000
2940.7248, 1433566.500000
2939.9957, 1016477.500000
2939.2666, 1703818.000000
2938.5376, 3325276.000000
2937.8085, 3858700.000000
2937.0794, 3670825.500000
2936.3503, 2438750.000000
2935.6213, 485351.000000
2934.8922, 1463234.500000
2934.1631, 1407295.000000
2933.4340, 524650.500000
2932.7050, 223678.000000
2931.9759, 709367.000000
2931.2468, 743832.000000
2930.5177, 294549.500000
2929.7887, 1074400.000000
2929.0596, 1027467.000000
2928.3305, 333681.500000
2927.6014, 426744.000000
2926.8724, 522162.500000
2926.1433, 316380.000000
2925.4142, 464311.000000
2924.6851, 409314.000000
2923.9561, 571094.500000
2923.2270, 1113697.000000
2922.4979, 262053.000000
2921.7688, 1371357.500000
2921.0398, 1753589.000000
2920.3107, 1393182.500000
2919.5816, 3671523.500000
2918.8525, 4810590.500000
2918.1235, 4460345.000000
2917.3944, 3689421.500000
2916.6653, 2069652.000000
2915.9362, 1214958.000000
2915.2072, 1658950.000000
2914.4781, 1194767.000000
2913.7490, 1152223.000000
2913.0199, 360875.000000
2912.2909, 770659.000000
2911.5618, 667067.000000
2910.8327, 690616.500000
2910.1036, 1128345.500000
2909.3746, 707368.000000
2908.6455, 1886425.000000
2907.9164, 1975426.500000
