ppm,x=0.4 xPbO.(1-x)B2O3
2985.9275, 753678.500000
2985.1984, 612767.000000
2984.4693, 422939.500000
2983.7402, 537894.500000
2983.0112, 1018023.250000
2982.2821, 2161726.500000
2981.5530, 2378527.250000
2980.8239, 1548786.500000
2980.0949, 878079.000000
2979.3658, 986495.250000
2978.6367, 1136639.000000
2977.9076, 3169525.000000
2977.1786, 6951510.250000
2976.4495, 8657337.750000
2975.7204, 6602936.000000
2974.9913, 3108245.500000
2974.2623, 1626002.750000
2973.5332, 640412.500000
2972.8041, 866255.000000
2972.0750, 925315.750000
2971.3460, 1523398.500000
2970.6169, 1474931.750000
2969.8878, 550483.750000
2969.1587, 738262.500000
2968.4297, 619410.500000
2967.7006, 595234.500000
2966.9715, 787360.250000
2966.2424, 1222943.250000
2965.5134, 564297.500000
2964.7843, 729548.500000
2964.0552, 277704.500000
2963.3261, 1807013.500000
2962.5971, 2986600.250000
2961.8680, 1644018.250000
2961.1389, 865069.000000
2960.4098, 2012844.250000
2959.6808, 2113495.250000
2958.9517, 1150485.750000
2958.2226, 3733482.500000
2957.4935, 7161038.500000
2956.7645, 6702952.000000
2956.0354, 3041914.500000
2955.3063, 1635482.750000
2954.5772, 1324280.250000
2953.8481, 1508852.000000
2953.1191, 1692601.500000
2952.3900, 567340.250000
2951.6609, 866893.000000
2950.9318, 322170.000000
2950.2028, 622050.000000
2949.4737, 422230.000000
2948.7446, 107647.750000
2948.0155, 611911.250000
2947.2865, 1235319.250000
2946.5574, 629536.000000
2945.8283, 877448.000000
2945.0992, 1066977.250000
2944.3702, 699382.500000
2943.6411, 2094700.250000
2942.9120, 1361090.000000
2942.1829, 1379028.000000
2941.4539, 1788153.250000
2940.7248, 2142983.750000
2939.9957, 2480528.250000
2939.2666, 438710.250000
2938.5376, 4680921.000000
2937.8085, 6043883.750000
2937.0794, 3547623.750000
2936.3503, 1995075.500000
2935.6213, 2171435.500000
2934.8922, 1303918.750000
2934.1631, 1989680.250000
2933.4340, 1466942.750000
2932.7050, 385910.250000
2931.9759, 380208.250000
2931.2468, 1047626.000000
2930.5177, 1490494.000000
2929.7887, 1430139.000000
2929.0596, 1403753.250000
2928.3305, 1388531.250000
2927.6014, 938510.250000
2926.8724, 1057079.000000
2926.1433, 1318562.000000
2925.4142, 823369.750000
2924.6851, 1358084.250000
2923.9561, 1908561.750000
2923.2270, 2317788.750000
2922.4979, 1750832.000000
2921.7688, 1454856.500000
2921.0398, 2551666.000000
2920.3107, 951053.500000
2919.5816, 3087813.250000
2918.8525, 5706105.750000
2918.1235, 4883932.500000
2917.3944, 2358271.750000
2916.6653, 1947835.750000
2915.9362, 1366575.250000
2915.2072, 1287210.500000
2914.4781, 1691537.250000
2913.7490, 962837.750000
2913.0199, 423391.500000
2912.2909, 138465.750000
2911.5618, 1199344.500000
2910.8327, 2047427.250000
2910.1036, 1986953.000000
2909.3746, 1329629.750000
2908.6455, 672878.500000
2907.9164, 894123.750000
2907.1873, 1447004.000000
2906.4583, 1321866.250000
2905.7292, 916502.750000
2905.0001, 1266768.250000
2904.2710, 2030709.250000
2903.5420, 2149504.750000
2902.8129, 983979.750000
2902.0838, 938733.250000
2901.3547, 905465.750000
2900.6257, 1471572.250000
2899.8966, 4324312.250000
2899.1675, 5052279.000000
2898.4384, 3033349.750000
2897.7094, 898411.250000
2896.9803, 1184022.500000
2896.2512, 1032919.500000
2895.5221, 2023782.250000
2894.7931, 1927362.750000
2894.0640, 1609443.000000
2893.3349, 1833884.000000
2892.6058, 1125128.000000
2891.8768, 1209360.750000
2891.1477, 1715862.000000
2890.4186, 1186635.000000
2889.6895, 379532.500000
2888.9605, 283509.000000
2888.2314, 775224.500000
2887.5023, 1032560.750000
2886.7732, 542463.750000
2886.0442, 681499.000000
2885.3151, 1182535.250000
2884.5860, 1537652.500000
2883.8569, 2055845.250000
2883.1279, 1852605.750000
2882.3988, 1117244.000000
