ppm,x=0.5 xPbO.(1-x)B2O3
2809.4913, 808951.250000
2808.7622, 967433.125000
2808.0331, 793682.625000
2807.3041, 881516.250000
2806.5750, 324622.625000
2805.8459, 1345087.000000
2805.1168, 1067051.875000
2804.3878, 723857.625000
2803.6587, 1469375.125000
2802.9296, 1007612.125000
2802.2005, 875483.625000
2801.4715, 234061.500000
2800.7424, 939974.250000
2800.0133, 887343.375000
2799.2842, 1407334.875000
2798.5552, 2464069.250000
2797.8261, 1578149.000000
2797.0970, 1975331.500000
2796.3679, 2618374.750000
2795.6389, 1310702.875000
2794.9098, 716230.500000
2794.1807, 974492.625000
2793.4516, 948281.875000
2792.7226, 658173.500000
2791.9935, 505851.875000
2791.2644, 1079432.000000
2790.5353, 1238949.625000
2789.8063, 1001199.875000
2789.0772, 202039.875000
2788.3481, 1332005.375000
2787.6190, 998682.875000
2786.8900, 815559.000000
2786.1609, 1335609.250000
2785.4318, 466952.625000
2784.7027, 605310.750000
2783.9736, 340948.125000
2783.2446, 557674.500000
2782.5155, 713817.875000
2781.7864, 384752.500000
2781.0573, 867093.875000
2780.3283, 2198824.500000
2779.5992, 2759997.750000
2778.8701, 1059854.125000
2778.1410, 1945145.000000
2777.4120, 3292580.500000
2776.6829, 2268401.500000
2775.9538, 650428.375000
2775.2247, 468790.250000
2774.4957, 1760745.000000
2773.7666, 2309346.875000
2773.0375, 1298652.250000
2772.3084, 636165.750000
2771.5794, 1348095.625000
2770.8503, 870554.875000
2770.1212, 885518.875000
2769.3921, 1584414.000000
2768.6631, 1442446.500000
2767.9340, 1288148.625000
2767.2049, 1246228.250000
2766.4758, 882712.375000
2765.7468, 924644.625000
2765.0177, 1109496.875000
2764.2886, 998669.250000
2763.5595, 320176.750000
2762.8305, 304896.875000
2762.1014, 252977.875000
2761.3723, 1606981.500000
2760.6432, 2218986.000000
2759.9142, 896530.000000
2759.1851, 1612649.250000
2758.4560, 2715227.500000
2757.7269, 1755047.625000
2756.9979, 1122310.250000
2756.2688, 889841.250000
2755.5397, 1388590.875000
2754.8106, 2955138.250000
2754.0816, 2373757.625000
2753.3525, 401796.875000
2752.6234, 976082.625000
2751.8943, 383903.500000
2751.1653, 674829.000000
2750.4362, 784261.000000
2749.7071, 914641.125000
2748.9780, 951083.250000
2748.2490, 330954.125000
2747.5199, 471880.375000
2746.7908, 1118839.500000
2746.0617, 1782343.250000
2745.3327, 1163861.750000
2744.6036, 304580.000000
2743.8745, 1194600.750000
2743.1454, 1256229.250000
2742.4164, 674620.500000
2741.6873, 626017.875000
2740.9582, 1475064.750000
2740.2291, 1204168.375000
2739.5001, 1413479.000000
2738.7710, 1205276.250000
2738.0419, 392203.375000
2737.3128, 891826.250000
2736.5838, 1399221.750000
2735.8547, 2544128.875000
2735.1256, 2045976.750000
2734.3965, 268137.750000
2733.6675, 799020.250000
2732.9384, 1002652.750000
2732.2093, 1502627.875000
2731.4802, 1176079.500000
2730.7512, 784638.250000
2730.0221, 135999.500000
2729.2930, 1614268.375000
2728.5639, 1811204.500000
2727.8349, 869274.125000
2727.1058, 1889694.750000
2726.3767, 1515052.000000
2725.6476, 712199.750000
2724.9186, 1063103.875000
2724.1895, 1144812.000000
2723.4604, 1525343.500000
2722.7313, 983636.000000
2722.0023, 1584181.125000
2721.2732, 2036380.000000
2720.5441, 1605134.125000
2719.8150, 1198861.750000
2719.0860, 722771.375000
2718.3569, 381101.875000
2717.6278, 1767593.000000
2716.8987, 2142735.125000
2716.1697, 951342.750000
2715.4406, 565743.250000
2714.7115, 1002484.625000
2713.9824, 1310985.250000
2713.2534, 1790699.000000
2712.5243, 1910131.875000
2711.7952, 1465944.000000
2711.0661, 699892.125000
2710.3371, 2573948.875000
2709.6080, 2792005.000000
2708.8789, 1113341.875000
2708.1498, 829036.125000
2707.4208, 1229467.500000
2706.6917, 929510.250000
2705.9626, 626114.125000
2705.2335, 652509.875000
2704.5045, 816497.125000
2703.7754, 640139.625000
2703.0463, 576502.000000
2702.3172, 477150.000000
2701.5882, 1161245.125000
2700.8591, 2442130.625000
2700.1300, 2454189.625000
2699.4009, 515901.500000
2698.6719, 1845423.500000
2697.9428, 2348833.750000
2697.2137, 860839.375000
2696.4846, 782209.625000
2695.7556, 959024.750000
2695.0265, 685872.250000
2694.2974, 843447.875000
2693.5683, 1469624.375000
2692.8393, 1352192.250000
2692.1102, 144738.375000
2691.3811, 1767368.250000
2690.6520, 2145141.250000
2689.9230, 1378990.500000
2689.1939, 745755.375000
2688.4648, 531942.750000
2687.7357, 908318.375000
2687.0067, 1796003.250000
2686.2776, 1541316.375000
2685.5485, 629219.125000
2684.8194, 1019463.750000
2684.0904, 1653322.125000
2683.3613, 2309491.500000
2682.6322, 1121684.875000
2681.9031, 1913601.375000
2681.1741, 3587637.500000
2680.4450, 2450987.500000
2679.7159, 429177.125000
2678.9868, 2141540.000000
2678.2578, 2125449.125000
2677.5287, 1292965.875000
2676.7996, 834690.125000
2676.0705, 1121577.625000
2675.3415, 1539272.125000
2674.6124, 1797440.375000
2673.8833, 1518861.500000
2673.1542, 965612.375000
2672.4252, 828517.875000
2671.6961, 1131420.250000
2670.9670, 1181725.000000
2670.2379, 1265531.500000
2669.5089, 1148754.625000
2668.7798, 813797.750000
2668.0507, 2163205.500000
2667.3216, 2445530.500000
2666.5926, 1314837.125000
2665.8635, 181901.625000
2665.1344, 1454679.250000
2664.4053, 2370294.250000
2663.6763, 1956662.875000
2662.9472, 1373899.375000
2662.2181, 2456019.750000
2661.4890, 2550902.625000
2660.7600, 1406169.125000
2660.0309, 1400665.750000
2659.3018, 2832454.875000
2658.5727, 2938113.625000
2657.8437, 1377430.500000
2657.1146, 874950.000000
2656.3855, 1884231.250000
2655.6564, 1686869.875000
2654.9274, 1270468.000000
2654.1983, 1357410.625000
2653.4692, 2058079.625000
2652.7401, 2057806.125000
2652.0111, 1328573.000000
2651.2820, 1520903.000000
2650.5529, 1109744.375000
2649.8238, 581007.250000
2649.0948, 1485430.625000
2648.3657, 1671595.250000
2647.6366, 1496735.375000
2646.9075, 878345.625000
2646.1785, 749456.750000
2645.4494, 1025096.500000
2644.7203, 1037643.375000
2643.9912, 1052346.000000
2643.2622, 706982.875000
2642.5331, 588128.750000
2641.8040, 543741.250000
2641.0749, 755106.875000
2640.3459, 1636639.625000
2639.6168, 2183692.375000
2638.8877, 1651270.250000
2638.1586, 1103205.875000
2637.4296, 1595413.125000
2636.7005, 1154066.000000
2635.9714, 711568.250000
2635.2423, 1037202.125000
2634.5133, 1799884.750000
2633.7842, 2289973.625000
2633.0551, 1478549.625000
