ppm,x=0.5 xPbO.(1-x)B2O3
1987.8008, 691686.781250
1987.6186, 705854.406250
1987.4363, 675135.250000
1987.2540, 663232.187500
1987.0718, 662614.968750
1986.8895, 663951.593750
1986.7072, 628614.562500
1986.5250, 602901.250000
1986.3427, 582960.250000
1986.1604, 522285.375000
1985.9781, 499063.750000
1985.7959, 471122.000000
1985.6136, 440349.093750
1985.4313, 448355.843750
1985.2491, 489839.500000
1985.0668, 556039.812500
1984.8845, 637065.031250
1984.7023, 751408.343750
1984.5200, 853086.781250
1984.3377, 939653.781250
1984.1555, 1017157.093750
1983.9732, 1038269.156250
1983.7909, 1052286.906250
1983.6087, 1030645.437500
1983.4264, 987615.750000
1983.2441, 918533.906250
1983.0618, 833795.000000
1982.8796, 753116.593750
1982.6973, 674873.718750
1982.5150, 610645.281250
1982.3328, 527690.843750
1982.1505, 468385.000000
1981.9682, 423263.437500
1981.7860, 422386.250000
1981.6037, 459491.531250
1981.4214, 498637.187500
1981.2392, 539006.656250
1981.0569, 600920.531250
1980.8746, 703410.750000
1980.6924, 809943.906250
1980.5101, 918902.031250
1980.3278, 978162.312500
1980.1455, 1007782.375000
1979.9633, 1052500.718750
1979.7810, 1106274.937500
1979.5987, 1128644.000000
1979.4165, 1122369.437500
1979.2342, 1106740.468750
1979.0519, 1085500.812500
1978.8697, 1099107.875000
1978.6874, 1099619.750000
1978.5051, 1065373.125000
1978.3229, 1010278.437500
1978.1406, 959251.375000
1977.9583, 898316.218750
1977.7761, 832151.968750
1977.5938, 762851.312500
1977.4115, 693269.468750
1977.2292, 680601.812500
1977.0470, 682565.000000
1976.8647, 693303.687500
1976.6824, 687543.781250
1976.5002, 673222.281250
1976.3179, 683367.750000
1976.1356, 708188.406250
1975.9534, 753682.906250
1975.7711, 747298.562500
1975.5888, 732072.000000
1975.4066, 711541.906250
1975.2243, 692662.187500
1975.0420, 674799.343750
1974.8598, 661854.125000
1974.6775, 651858.468750
1974.4952, 648954.937500
1974.3129, 693130.718750
1974.1307, 756743.312500
1973.9484, 832014.000000
1973.7661, 892918.656250
1973.5839, 957861.875000
1973.4016, 985435.375000
1973.2193, 990594.687500
1973.0371, 979658.875000
1972.8548, 938797.562500
1972.6725, 901737.687500
1972.4903, 866957.937500
1972.3080, 862638.968750
1972.1257, 898686.218750
1971.9434, 947273.125000
1971.7612, 1003381.312500
1971.5789, 1082523.156250
1971.3966, 1174031.125000
1971.2144, 1223580.125000
1971.0321, 1247962.281250
1970.8498, 1245724.687500
1970.6676, 1163930.156250
1970.4853, 1082941.218750
1970.3030, 1002435.468750
1970.1208, 899013.562500
1969.9385, 787065.437500
1969.7562, 719198.531250
1969.5740, 677771.406250
1969.3917, 648871.343750
1969.2094, 741774.562500
1969.0271, 819213.031250
1968.8449, 887375.781250
1968.6626, 917357.375000
1968.4803, 882601.562500
1968.2981, 847072.625000
1968.1158, 811079.937500
1967.9335, 824929.625000
1967.7513, 784691.812500
1967.5690, 742130.156250
1967.3867, 698174.625000
1967.2045, 644593.250000
1967.0222, 598878.687500
1966.8399, 561786.093750
1966.6577, 529864.937500
1966.4754, 469545.468750
1966.2931, 449973.843750
1966.1108, 460191.437500
1965.9286, 488276.500000
1965.7463, 527228.718750
1965.5640, 551486.906250
1965.3818, 562628.843750
1965.1995, 565903.781250
1965.0172, 629112.062500
1964.8350, 765684.625000
1964.6527, 867023.968750
1964.4704, 947230.593750
1964.2882, 988161.562500
1964.1059, 971449.750000
1963.9236, 950325.125000
1963.7414, 926553.781250
1963.5591, 891684.500000
1963.3768, 790665.968750
1963.1945, 721344.562500
1963.0123, 671035.000000
1962.8300, 634251.656250
1962.6477, 670899.093750
1962.4655, 701162.187500
1962.2832, 727595.968750
1962.1009, 739690.875000
1961.9187, 763259.812500
1961.7364, 777310.375000
1961.5541, 785651.906250
1961.3719, 810034.750000
1961.1896, 843030.812500
1961.0073, 873192.812500
1960.8251, 901654.937500
1960.6428, 925348.125000
1960.4605, 948052.093750
1960.2782, 983294.906250
1960.0960, 1026058.531250
1959.9137, 1052219.218750
1959.7314, 1055021.343750
1959.5492, 1100519.437500
1959.3669, 1171626.437500
1959.1846, 1254120.437500
1959.0024, 1297802.906250
1958.8201, 1298735.187500
1958.6378, 1274026.093750
1958.4556, 1221078.093750
1958.2733, 1137460.281250
1958.0910, 999862.843750
1957.9088, 829888.687500
1957.7265, 686034.937500
1957.5442, 611711.593750
1957.3619, 619142.937500
1957.1797, 675610.406250
1956.9974, 770203.968750
1956.8151, 848222.562500
1956.6329, 880484.250000
1956.4506, 885301.093750
1956.2683, 893494.593750
1956.0861, 945462.937500
1955.9038, 984344.750000
1955.7215, 1015377.281250
1955.5393, 1031795.593750
1955.3570, 1053479.750000
1955.1747, 1184717.125000
1954.9925, 1381664.031250
1954.8102, 1534470.187500
1954.6279, 1634529.531250
1954.4456, 1652518.718750
1954.2634, 1621282.531250
1954.0811, 1556363.937500
1953.8988, 1476570.343750
1953.7166, 1344374.875000
1953.5343, 1180748.968750
1953.3520, 1079475.843750
1953.1698, 1001866.062500
1952.9875, 951616.687500
1952.8052, 917777.968750
1952.6230, 900275.156250
1952.4407, 890919.375000
1952.2584, 902221.718750
1952.0762, 925914.656250
1951.8939, 913499.562500
1951.7116, 866973.750000
1951.5293, 829022.031250
1951.3471, 796213.000000
1951.1648, 780465.093750
1950.9825, 799540.500000
1950.8003, 803147.312500
1950.6180, 797476.093750
1950.4357, 783215.562500
1950.2535, 785827.812500
1950.0712, 766750.125000
1949.8889, 734662.968750
1949.7067, 678019.000000
1949.5244, 586249.593750
1949.3421, 558228.656250
1949.1599, 568443.843750
1948.9776, 609271.843750
1948.7953, 663356.468750
1948.6130, 678832.500000
1948.4308, 671151.218750
1948.2485, 694001.906250
1948.0662, 692085.156250
1947.8840, 691159.343750
1947.7017, 690827.906250
1947.5194, 671297.437500
1947.3372, 645606.437500
1947.1549, 676214.562500
1946.9726, 740590.687500
1946.7904, 763168.468750
1946.6081, 829063.000000
1946.4258, 840659.781250
1946.2436, 819689.031250
1946.0613, 786069.218750
1945.8790, 744121.750000
1945.6967, 662316.250000
1945.5145, 556604.031250
1945.3322, 506988.312500
1945.1499, 483230.593750
1944.9677, 496061.375000
1944.7854, 530837.781250
1944.6031, 534813.000000
1944.4209, 489094.000000
1944.2386, 461293.718750
1944.0563, 444241.062500
1943.8741, 499486.468750
1943.6918, 587703.625000
1943.5095, 678070.531250
1943.3273, 769726.906250
1943.1450, 824183.468750
1942.9627, 908768.531250
1942.7804, 994984.718750
1942.5982, 1082179.281250
1942.4159, 1103880.312500
1942.2336, 1071916.406250
1942.0514, 1004991.343750
1941.8691, 917096.687500
1941.6868, 852577.343750
1941.5046, 771345.531250
1941.3223, 724993.531250
1941.1400, 699562.281250
1940.9578, 745232.750000
1940.7755, 860215.718750
1940.5932, 1045175.000000
1940.4110, 1272105.781250
1940.2287, 1444637.187500
1940.0464, 1590722.031250
1939.8641, 1658038.062500
1939.6819, 1678108.843750
1939.4996, 1659998.250000
1939.3173, 1586201.500000
1939.1351, 1455320.718750
1938.9528, 1290201.125000
1938.7705, 1191928.875000
1938.5883, 1103408.593750
1938.4060, 1071510.031250
1938.2237, 1073572.968750
1938.0415, 1039476.500000
1937.8592, 1015362.750000
1937.6769, 974916.437500
1937.4947, 924673.906250
1937.3124, 907353.062500
1937.1301, 935099.906250
1936.9478, 932482.531250
1936.7656, 911652.812500
1936.5833, 918194.406250
1936.4010, 961681.937500
1936.2188, 1042384.687500
1936.0365, 1145408.968750
1935.8542, 1203850.906250
1935.6720, 1190476.531250
1935.4897, 1211709.656250
1935.3074, 1253700.218750
1935.1252, 1250345.468750
1934.9429, 1192535.093750
1934.7606, 1092218.687500
1934.5784, 966407.343750
1934.3961, 873171.500000
1934.2138, 840362.406250
1934.0315, 771530.031250
1933.8493, 681090.968750
1933.6670, 628645.468750
1933.4847, 587416.218750
1933.3025, 603490.156250
1933.1202, 653934.343750
1932.9379, 665756.812500
1932.7557, 722134.968750
1932.5734, 782739.906250
1932.3911, 845880.062500
1932.2089, 917172.906250
1932.0266, 960845.531250
1931.8443, 1041621.906250
1931.6621, 1144652.937500
1931.4798, 1254738.375000
1931.2975, 1299567.218750
1931.1152, 1269926.250000
1930.9330, 1195618.625000
1930.7507, 1076193.062500
1930.5684, 940359.218750
1930.3862, 776530.312500
1930.2039, 595910.093750
1930.0216, 439897.843750
1929.8394, 335016.125000
1929.6571, 299556.375000
1929.4748, 305735.718750
1929.2926, 375012.718750
1929.1103, 485189.437500
1928.9280, 581210.156250
1928.7457, 668740.125000
1928.5635, 748687.031250
1928.3812, 801217.250000
1928.1989, 894606.375000
1928.0167, 1012502.562500
