15118.387	1602422.571
15116.4906	1633780.543
15114.59419	1665138.515
15112.69779	1696496.487
15110.80138	1727854.459
15108.90498	1759212.431
15107.00858	1790570.403
15105.11217	1821928.375
15103.21577	1853286.347
15101.31936	1884644.319
15099.42296	1916002.291
15097.52656	1947360.263
15095.63015	1978718.235
15093.73375	2010076.207
15091.83735	2041434.179
15089.94094	2072792.151
15088.04454	2104150.123
15086.14813	2135508.095
15084.25173	2166866.067
15082.35533	2198224.039
15080.45892	2229582.011
15078.56252	2260939.983
15076.66611	2292297.955
15074.76971	2323655.927
15072.87331	2355013.899
15070.9769	2386371.871
15069.0805	2417729.843
15067.18409	2449087.815
15065.28769	2480445.787
15063.39129	2511803.759
15061.49488	2543161.731
15059.59848	2574519.703
15057.70207	2605877.675
15055.80567	2637235.647
15053.90927	2668593.619
15052.01286	2699951.591
15050.11646	2731309.563
15048.22005	2762667.535
15046.32365	2794025.507
15044.42725	2825383.479
15042.53084	2856741.451
15040.63444	2888099.423
15038.73804	2919457.395
15036.84163	2950815.367
15034.94523	2982173.339
15033.04882	3013531.311
15031.15242	3044889.283
15029.25602	3076247.255
15027.35961	3107605.227
15025.46321	3138963.199
15023.5668	3170321.171
15021.6704	3201679.143
15019.774	3204253.277
15017.8776	3206827.412
15015.98119	3209401.546
15014.08479	3211975.681
15012.18839	3214549.815
15010.29199	3217123.95
15008.39559	3219698.084
15006.49918	3222272.219
15004.60278	3224846.353
15002.70638	3227420.488
15000.80998	3229994.622
14998.91358	3232568.756
14997.01717	3235142.891
14995.12077	3237717.025
14993.22437	3240291.16
14991.32797	3242865.294
14989.43157	3245439.429
14987.53516	3248013.563
14985.63876	3250587.698
14983.74236	3253161.832
14981.84596	3255735.966
14979.94956	3258310.101
14978.05315	3260884.235
14976.15675	3263458.37
14974.26035	3266032.504
14972.36395	3268606.639
14970.46755	3271180.773
14968.57115	3273754.908
14966.67474	3276329.042
14964.77834	3278903.177
14962.88194	3281477.311
14960.98554	3284051.445
14959.08914	3286625.58
14957.19273	3289199.714
14955.29633	3291773.849
14953.39993	3294347.983
14951.50353	3296922.118
14949.60713	3299496.252
14947.71072	3302070.387
14945.81432	3304644.521
14943.91792	3307218.655
14942.02152	3309792.79
14940.12512	3312366.924
14938.22871	3314941.059
14936.33231	3317515.193
14934.43591	3320089.328
14932.53951	3322663.462
14930.64311	3325237.597
14928.7467	3327811.731
14926.8503	3330385.866
14924.9539	3332960
14919.24729	3337715.927
14913.54069	3342471.854
14907.83408	3347227.782
14902.12748	3351983.709
14896.42087	3356739.636
14890.71426	3361495.563
14885.00766	3366251.49
14879.30105	3371007.417
14873.59445	3375763.345
14867.88784	3380519.272
14862.18124	3385275.199
14856.47463	3390031.126
14850.76802	3394787.053
14845.06142	3399542.98
14839.35481	3404298.908
14833.64821	3409054.835
14827.9416	3413810.762
14822.23499	3418566.689
14816.52839	3423322.616
14810.82178	3428078.544
14805.11518	3432834.471
14799.40857	3437590.398
14793.70196	3442346.325
14787.99536	3447102.252
14782.28875	3451858.179
14776.58215	3456614.107
14770.87554	3461370.034
14765.16894	3466125.961
14759.46233	3470881.888
14753.75572	3475637.815
14748.04912	3480393.742
14742.34251	3485149.67
14736.63591	3489905.597
14730.9293	3494661.524
14725.22269	3499417.451
14719.51609	3504173.378
14713.80948	3508929.306
14708.10288	3513685.233
14702.39627	3518441.16
14696.68966	3523197.087
14690.98306	3527953.014
14685.27645	3532708.941
14679.56985	3537464.869
14673.86324	3542220.796
14668.15664	3546976.723
14662.45003	3551732.65
14656.74342	3556488.577
14651.03682	3561244.504
14645.33021	3566000.432
14639.62361	3570756.359
14633.917	3575512.286
14632.0206	3580018.785
14630.1242	3584525.283
14628.22779	3589031.782
14626.33139	3593538.28
14624.43499	3598044.779
14622.53859	3602551.278
14620.64219	3607057.776
14618.74578	3611564.275
14616.84938	3616070.773
14614.95298	3620577.272
14613.05658	3625083.77
14611.16018	3629590.269
14609.26377	3634096.768
14607.36737	3638603.266
14605.47097	3643109.765
14603.57457	3647616.263
14601.67817	3652122.762
14599.78176	3656629.261
14597.88536	3661135.759
14595.98896	3665642.258
14594.09256	3670148.756
14592.19616	3674655.255
14590.29975	3679161.754
14588.40335	3683668.252
14586.50695	3688174.751
14584.61055	3692681.249
14582.71415	3697187.748
14580.81775	3701694.246
14578.92134	3706200.745
14577.02494	3710707.244
14575.12854	3715213.742
14573.23214	3719720.241
14571.33574	3724226.739
14569.43933	3728733.238
14567.54293	3733239.737
14565.64653	3737746.235
14563.75013	3742252.734
14561.85373	3746759.232
14559.95732	3751265.731
14558.06092	3755772.23
14556.16452	3760278.728
14554.26812	3764785.227
14552.37172	3769291.725
14550.47531	3773798.224
14548.57891	3778304.722
14546.68251	3782811.221
14544.78611	3787317.72
14542.88971	3791824.218
14540.9933	3796330.717
14539.0969	3800837.215
14537.2005	3805343.714
14535.3041	3803829.075
14533.40769	3802314.437
14531.51129	3800799.798
14529.61488	3799285.159
14527.71848	3797770.521
14525.82208	3796255.882
14523.92567	3794741.243
14522.02927	3793226.605
14520.13286	3791711.966
14518.23646	3790197.328
14516.34006	3788682.689
14514.44365	3787168.05
14512.54725	3785653.412
14510.65085	3784138.773
14508.75444	3782624.134
14506.85804	3781109.496
14504.96163	3779594.857
14503.06523	3778080.218
14501.16883	3776565.58
14499.27242	3775050.941
14497.37602	3773536.302
14495.47961	3772021.664
14493.58321	3770507.025
14491.68681	3768992.386
14489.7904	3767477.748
14487.894	3765963.109
14485.99759	3764448.471
14484.10119	3762933.832
